district,site_name,state
Patna,Golghar,Bihar
Patna,Mahavir Mandir,Bihar
Patna,Bapuji Smarak,Bihar
Bodh Gaya,Mahabodhi Temple,Bihar
Bodh Gaya,Great Buddha Statue,Bihar
Bodh Gaya,Dome of the Buddha Mahavihara,Bihar
Nalanda,Nalanda University Ruins,Bihar
Nalanda,Rajgir,Bihar
Nalanda,Vikramshila University,Bihar
Gaya,Vishnupad Temple,Bihar
Gaya,Barabar Caves,Bihar
Gaya,Phalgu River,Bihar
Muzaffarpur,Litchi Plantations,Bihar
Muzaffarpur,Bihar Museum,Bihar
Muzaffarpur,Ram Chandra Math,Bihar
Darbhanga,Ahilya Sthan,Bihar
Darbhanga,Raj Darbhanga,Bihar
Darbhanga,Shyama Temple,Bihar
Bhagalpur,Vikramshila Ruins,Bihar
Bhagalpur,Sultanganj,Bihar
Bhagalpur,Mandar Hill,Bihar
Araria,Araria Museum,Bihar
Araria,Kali Mandir,Bihar
Araria,Araria Fort,Bihar
Arwal,Murdera Fort,Bihar
Arwal,Ganesh Temple,Bihar
Arwal,Mahamaya Temple,Bihar
Aurangabad,Barachatti waterfalls,Bihar
Aurangabad,Buxar Fort,Bihar
Aurangabad,Bellari Temple,Bihar
Banka,Banka Fort,Bihar
Banka,Mandar Hill,Bihar
Banka,Tarua Temple,Bihar
Begusarai,Ahilya Sthan,Bihar
Begusarai,Bala Temple,Bihar
Begusarai,Kamagri Temple,Bihar
Bhagalpur,Vikramshila Ruins,Bihar
Bhagalpur,Sultanganj,Bihar
Bhagalpur,Mandar Hill,Bihar
Bhojpur,Archaeological Museum,Bihar
Bhojpur,Kajha Kothi,Bihar
Bhojpur,Ramgarh Fort,Bihar
Buxar,Buxar Fort,Bihar
Buxar,Raja Harishchandra Fort,Bihar
Buxar,Chausa Fort,Bihar
Darbhanga,Ahilya Sthan,Bihar
Darbhanga,Raj Darbhanga,Bihar
Darbhanga,Shyama Temple,Bihar
Gaya,Vishnupad Temple,Bihar
Gaya,Barabar Caves,Bihar
Gaya,Phalgu River,Bihar
Jamui,Naulakha Fort,Bihar
Jamui,Simultala Hill Station,Bihar
Jamui,Noori Masjid,Bihar
Jehanabad,Barabar Caves,Bihar
Jehanabad,Noori Masjid,Bihar
Jehanabad,Makhdum Shah Darwaza,Bihar
Kaimur,Kaimur Wildlife Sanctuary,Bihar
Kaimur,Telhar Waterfall,Bihar
Kaimur,Manjhar Kund,Bihar
Katihar,Belsand Temple,Bihar
Katihar,Jagat Mandir,Bihar
Katihar,Karpaga Vinayakar Temple,Bihar
Kishanganj,Kishanganj Fort,Bihar
Kishanganj,Sugauli Fort,Bihar
Kishanganj,Prakashpur Temple,Bihar
Lakhisarai,Barahi Mandir,Bihar
Lakhisarai,Lakhisarai Fort,Bihar
Lakhisarai,Tel River,Bihar
Madhepura,Hansdiha Forest,Bihar
Madhepura,Sathan Forest,Bihar
Madhepura,Kesaria Stupa,Bihar
Madhubani,Madhubani Paintings,Bihar
Madhubani,Janakpur,Bihar
Madhubani,Baliraaj Mandir,Bihar
Munger,Munger Fort,Bihar
Munger,Taragarh Fort,Bihar
Munger,Jal Mandir,Bihar
Nalanda,Vikramshila University,Bihar
Purnia,Purnia Fort,Bihar
Purnia,Patharghata Shiv Mandir,Bihar
Purnia,Manihari Ghat,Bihar
Rohtas,Rohtas Fort,Bihar
Rohtas,Shivgarh,Bihar
Rohtas,Pachranga,Rohtas
Sheikhpura,Sheikhpura Fort,Bihar
Sheikhpura,Barabar Caves,Bihar
Sheikhpura,Mohalla Jama Masjid,Bihar
Sitamarhi,Palkot Fort,Bihar
Sitamarhi,Hanuman Garhi,Bihar
Sitamarhi,Majhwar Mandir,Bihar
Siwan,Siwan Fort,Bihar
Siwan,Mahadeo Mandir,Bihar
Siwan,Amini Park,Bihar
Supaul,Supaul Fort,Bihar
Supaul,Brahmaputra River,Gaya
Supaul,Khaurabandh Temple,Bihar
Vaishali,Vaishali Stupa,Bihar
Vaishali,Buddhist Monastery,Bihar
Vaishali,Ananda Stupa,Bihar
