district,site_name,state
Bastar,Chitrakote Falls,Chhattisgarh
Bastar,Tirathgarh Falls,Chhattisgarh
Bastar,Danteshwari Temple,Chhattisgarh
Bastar,Kanger Valley National Park,Chhattisgarh
Bastar,Kutumsar Caves,Chhattisgarh
Raipur,Vivekananda Sarovar,Chhattisgarh
Raipur,Gangrel Dam,Chhattisgarh
Raipur,Naya Raipur Garden,Chhattisgarh
Raipur,Buddha Statue,Chhattisgarh
Raipur,Maitri Bagh,Chhattisgarh
Durg,Bhoramdeo Temple,Chhattisgarh
Durg,Gangrel Dam,Chhattisgarh
Durg,Rajnandgaon Fort,Chhattisgarh
Durg,Kanker Palace,Chhattisgarh
Durg,Tala Dam,Chhattisgarh
Jagdalpur,Gandai Waterfall,Chhattisgarh
Jagdalpur,Antharkata (Deep Cave),Chhattisgarh
Jagdalpur,Danteshwari Temple,Chhattisgarh
Jagdalpur,Tirathgarh Waterfalls,Chhattisgarh
Jagdalpur,Odalma Waterfalls,Chhattisgarh
Kanker,Malajkudum Waterfall,Chhattisgarh
Kanker,Gadiya Mountain,Chhattisgarh
Kanker,Charre-Marre Waterfall,Chhattisgarh
Kanker,Shivani Temple,Chhattisgarh
Kanker,Van Vihar,Chhattisgarh
Kondagaon,Tirathgarh Waterfall,Chhattisgarh
Kondagaon,Chitrakote Waterfall,Chhattisgarh
Kondagaon,Kutumsar Caves,Chhattisgarh
Kondagaon,Bailadila Mountains,Chhattisgarh
Kondagaon,Tribal Villages,Chhattisgarh
Korba,Mata Sarwamangla Temple,Chhattisgarh
Korba,Devpahari,Chhattisgarh
Korba,Hasdeo Bango Dam,Chhattisgarh
Korba,Kendai Local Forest,Chhattisgarh
Korba,Maa Mahishasura Mardini Chaiturgarh,Chhattisgarh
Koriya,Amrit Dhara Waterfall,Chhattisgarh
Koriya,Ramdaha Waterfall,Chhattisgarh
Koriya,Gevar Ghat Waterfall,Chhattisgarh
Koriya,Jacchamakali Waterfall,Chhattisgarh
Koriya,Koriya Palace,Chhattisgarh
Mungeli,Shivghat,Chhattisgarh
Mungeli,Mahamaya Temple,Chhattisgarh
Mungeli,Kharaghat Dam,Chhattisgarh
Mungeli,Rajiv Gandhi Reservoir,Chhattisgarh
Mungeli,Madku Islands,Chhattisgarh
Narayanpur,Kanger Ghati National Park,Chhattisgarh
Narayanpur,Chitrakot Waterfall,Chhattisgarh
Narayanpur,Tirathgarh Waterfall,Chhattisgarh
Narayanpur,Barsoor Group of Temples,Chhattisgarh
Narayanpur,Bastar Palace,Chhattisgarh
Balrampur,Tatapani Hot Springs,Chhattisgarh
Balrampur,Semarsot Sanctuary,Chhattisgarh
Balrampur,Pawai Waterfall,Chhattisgarh
Balrampur,Arjungar Waterfall,Chhattisgarh
Balrampur,Dipadih,Chhattisgarh
Bijapur,Mattimarka Village,Chhattisgarh
Bijapur,Narayanpur Wildlife Sanctuary,Chhattisgarh
Bijapur,Neelam Sarai Waterfall,Chhattisgarh
Bijapur,Nambi Waterfall,Chhattisgarh
Bijapur,Murpar Wildlife Sanctuary,Chhattisgarh
Bilaspur,Khutaghat Dam,Chhattisgarh
Bilaspur,Wildlife Sanctuary,Chhattisgarh
Bilaspur,Ratanpur Fort,Chhattisgarh
Bilaspur,Dev Rani Jethani Mandir,Chhattisgarh
Bilaspur,Madku Dweep,Chhattisgarh
Gariaband,Jatmai Temple,Chhattisgarh
Gariaband,Ghatarani Waterfall,Chhattisgarh
Gariaband,Rajim,Chhattisgarh
Gariaband,Udanti Wildlife Sanctuary,Chhattisgarh
Gariaband,Sikaser Dam,Chhattisgarh
Gaurela Pendra Marwahi,Rajmergarh,Chhattisgarh
Gaurela Pendra Marwahi,Jhojha Waterfall,Chhattisgarh
Gaurela Pendra Marwahi,Dharampani,Chhattisgarh
Gaurela Pendra Marwahi,Samundalai Kund,Chhattisgarh
Gaurela Pendra Marwahi,Mai Ka Madwa,Chhattisgarh
Janjgir-Champa,Vishnu Mandir,Chhattisgarh
Janjgir-Champa,Deulgaon Buddhist Site,Chhattisgarh
Janjgir-Champa,Amoli Waterfalls,Chhattisgarh
Janjgir-Champa,Champeshwar Temple,Chhattisgarh
Janjgir-Champa,Chhuri Waterfalls,Chhattisgarh
Jashpur,Rajpuri Waterfall,Chhattisgarh
Jashpur,Kailash Gupha,Chhattisgarh
Jashpur,Danpuri Waterfall,Chhattisgarh
Jashpur,Damera Pahad,Chhattisgarh
Jashpur,Sograh Ashram,Chhattisgarh
Kabirdham,Bhoramdeo Temple,Chhattisgarh
Kabirdham,Rani Dahara Waterfall,Chhattisgarh
Kabirdham,Parandak Reservoir,Chhattisgarh
Kabirdham,Saroda Dam,Chhattisgarh
Kabirdham,Chilpi Valley,Chhattisgarh
Balod,Ganga Maiya Temple,Chhattisgarh
Balod,Siyadevi Waterfall,Chhattisgarh
Balod,Tandula Dam,Chhattisgarh
Balod,Onakona Temple,Chhattisgarh
Balod,Kharkhara Dam,Chhattisgarh
Baloda Bazar,Sirpur Archaeological Site,Chhattisgarh
Baloda Bazar,Lakshman Temple,Chhattisgarh
Baloda Bazar,Turma Waterfall,Chhattisgarh
Baloda Bazar,Bhima Kot Caves,Chhattisgarh
Baloda Bazar,Mavli Mata Mandir,Chhattisgarh
