district,site_name,state
Bagalkote,Badami Cave Temples,Karnataka
Bagalkote,Pattadakal,Karnataka
Bagalkote,Aihole,Karnataka
Bagalkote,Kudala Sangama,Karnataka
Bagalkote,Mahakuta Temples,Karnataka
Ballari,Ballari Fort,Karnataka
Ballari,Hampi,Karnataka
Ballari,Daroji Sloth Bear Sanctuary,Karnataka
Ballari,Kumaraswamy Temple Sandur,Karnataka
Ballari,Sanganakallu,Karnataka
Belagavi,Belagavi Fort,Karnataka
Belagavi,Kittur Fort,Karnataka
Belagavi,Gokak Falls,Karnataka
Belagavi,Saundatti Yellamma Temple,Karnataka
Belagavi,Vajrapoha Falls,Karnataka
Bengaluru Rural,Ghati Subramanya Temple,Karnataka
Bengaluru Rural,Devanahalli Fort,Karnataka
Bengaluru Rural,Nandi Hills,Karnataka
Bengaluru Rural,Avathi Heritage Sites,Karnataka
Bengaluru Rural,Nrityagram,Karnataka
Bengaluru Urban,Bengaluru Palace,Karnataka
Bengaluru Urban,Vidhana Soudha,Karnataka
Bengaluru Urban,Lalbagh Botanical Garden,Karnataka
Bengaluru Urban,Tipu Sultan's Summer Palace,Karnataka
Bengaluru Urban,Cubbon Park,Karnataka
Bidar,Bidar Fort,Karnataka
Bidar,Bahmani Tombs,Karnataka
Bidar,Mahmud Gawan Madrasa,Karnataka
Bidar,Gurudwara Nanak Jhira Sahib,Karnataka
Bidar,Basavakalyan Fort,Karnataka
Chamarajanagar,Bandipur National Park,Karnataka
Chamarajanagar,Biligiriranga Hills,Karnataka
Chamarajanagar,Male Mahadeshwara Hills,Karnataka
Chamarajanagar,Barachukki Falls,Karnataka
Chamarajanagar,Chamarajanagar Palace,Karnataka
Chikkaballapur,Nandi Hills,Karnataka
Chikkaballapur,Bhoga Nandeeshwara Temple,Karnataka
Chikkaballapur,Gudibande Fort,Karnataka
Chikkaballapur,Skandagiri,Karnataka
Chikkaballapur,Muddenahalli,Karnataka
Chikkamagaluru,Mullayanagiri,Karnataka
