district,site_name,state
Tawang,Tawang Monastery,Arunachal Pradesh
Tawang,Jaswant Garh War Memorial,Arunachal Pradesh
Tawang,Sela Pass,Arunachal Pradesh
West Kameng,Bomdila Monastery,Arunachal Pradesh
West Kameng,Dirang,Arunachal Pradesh
West Kameng,Tippi Orchid Sanctuary,Arunachal Pradesh
East Kameng,Malinithan Archaeological Site,Arunachal Pradesh
East Kameng,Bhismaknagar,Arunachal Pradesh
East Kameng,Pakke Tiger Reserve,Arunachal Pradesh
East Siang,Pasighat,Arunachal Pradesh
East Siang,Mopin Festival,Arunachal Pradesh
East Siang,Daying Ering Wildlife Sanctuary,Arunachal Pradesh
Papum Pare,Ita Fort,Arunachal Pradesh
Papum Pare,Itanagar,Arunachal Pradesh
Papum Pare,Ganga Lake,Arunachal Pradesh
Lower Subansiri,Ziro Valley,Arunachal Pradesh
Lower Subansiri,Talley Valley Wildlife Sanctuary,Arunachal Pradesh
Lower Subansiri,Harmutty Falls,Arunachal Pradesh
Upper Subansiri,Daporijo,Arunachal Pradesh
Upper Subansiri,Hoon Sunset Viewpoint,Arunachal Pradesh
Upper Subansiri,Yangte Village,Arunachal Pradesh
West Siang,Aalo,Arunachal Pradesh
West Siang,Parshuram Kund,Arunachal Pradesh
West Siang,Seyin Village,Arunachal Pradesh
Siang,Boleng,Arunachal Pradesh
Siang,Mechuka,Arunachal Pradesh
Siang,Mago National Park,Arunachal Pradesh
Dibang Valley,Anini,Arunachal Pradesh
Dibang Valley,Nambar Valley,Arunachal Pradesh
Dibang Valley,Kamlang Wildlife Sanctuary,Arunachal Pradesh
Lower Dibang Valley,Roing,Arunachal Pradesh
Lower Dibang Valley,Mehao Wildlife Sanctuary,Arunachal Pradesh
Lower Dibang Valley,Pangin,Arunachal Pradesh
Lohit,Tezu,Arunachal Pradesh
Lohit,Namdapha National Park,Arunachal Pradesh
Lohit,Ranga Waterfalls,Arunachal Pradesh
Anjaw,Hawai,Arunachal Pradesh
Anjaw,Kaho,Arunachal Pradesh
Anjaw,Walong,Arunachal Pradesh
Changlang,Namdapha Tiger Reserve,Arunachal Pradesh
Changlang,Dihang-Dibang Biosphere Reserve,Arunachal Pradesh
Changlang,Dosut Village,Arunachal Pradesh
Tirap,Khonsa,Arunachal Pradesh
Tirap,Changlang,Arunachal Pradesh
Tirap,Namphai Village,Arunachal Pradesh
Longding,Longding Wildlife Sanctuary,Arunachal Pradesh
Longding,Jaminalan Village,Arunachal Pradesh
Longding,Daalu Village,Arunachal Pradesh
Namsai,Golden Pagoda,Arunachal Pradesh
Namsai,Hanuman Mukh,Arunachal Pradesh
Namsai,Sadiya,Arunachal Pradesh
Kra Daadi,Jamin,Arunachal Pradesh
Kra Daadi,Parsi Parlo Cave,Arunachal Pradesh
Kra Daadi,Nampat,Arunachal Pradesh
Shi-Yomi,Tato,Arunachal Pradesh
Shi-Yomi,Siyum,Arunachal Pradesh
Shi-Yomi,Luguthang,Arunachal Pradesh
Siang,Pasighat,Arunachal Pradesh
Siang,Paya,Arunachal Pradesh
Siang,Siyum,Arunachal Pradesh
Lower Siang,Adi Hill,Arunachal Pradesh
Lower Siang,Sachka Pass,Arunachal Pradesh
Lower Siang,Manabhum,Arunachal Pradesh
Upper Siang,Yarjowu Bum Sanctuary,Arunachal Pradesh
Upper Siang,Koloriang,Arunachal Pradesh
Upper Siang,Solung Festival,Arunachal Pradesh
Shi-Yomi,Tato,Arunachal Pradesh
Shi-Yomi,Siyum,Arunachal Pradesh
Shi-Yomi,Luguthang,Arunachal Pradesh
Siang,Pasighat,Arunachal Pradesh
Siang,Paya,Arunachal Pradesh
Siang,Siyum,Arunachal Pradesh
West Kameng,Bomdila,Arunachal Pradesh
West Kameng,Tippi Orchid Sanctuary,Arunachal Pradesh
East Kameng,Malinithan Ruins,Arunachal Pradesh
Changlang,Longding Wildlife Sanctuary,Arunachal Pradesh
Lower Dibang Valley,Roing,Arunachal Pradesh
Namsai,Golden Pagoda,Arunachal Pradesh
